pkg,v_old,v_new,element,,,,,,,,,,
com.google.android.stardroid,1.8.5-published,1.9.0-published,'TextView', '@+id/diagnose_light_accuracy_txt', 'Accuracy: (waiting)', '',,,,,,,
com.google.android.stardroid,1.8.5-published,1.9.0-published,'TextView', '@+id/diagnose_rotation_accuracy_txt', 'Accuracy: (waiting)', '',,,,,,,
com.google.android.stardroid,1.8.5-published,1.9.0-published,'TextView', '@+id/diagnose_compass_accuracy_txt', 'Accuracy: (waiting)', '',,,,,,,
com.google.android.stardroid,1.8.5-published,1.9.0-published,'TextView', '@+id/diagnose_gyro_accuracy_txt', 'Accuracy: (waiting)', '',,,,,,,
com.google.android.stardroid,1.8.5-published,1.9.0-published,'TextView', '@+id/diagnose_accelerometer_accuracy_txt', 'Accuracy: (waiting)', '',,,,,,,
com.google.android.stardroid,1.8.2-published,1.8.3-published,'TextView', '@+id/eula_box_text', '', '',,,,,,,
com.google.android.stardroid,1.8.0-published,release-1.8.1-published,'TextView', '', '', '',,,,,,,
com.google.android.stardroid,release-1.7.1-published,1.8.0-published,'TextView', '', 'Please enter the URL of your kml file', '',,,,,,,
com.google.android.stardroid,release-1.7.1-published,1.8.0-published,'EditText', '@+id/kml_url_box', 'http://', '',,,,,,,
com.google.android.stardroid,release-1.7.1-published,1.8.0-published,'ZoomControls', '@+id/zoom_control', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v2.5.0,v2.5.1,'ImageView', '@+id/photo', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v2.0.2,v2.1.0,'ImageView', '@+id/settings', '', '@drawable/ic_settings',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.12,v2.0.0,'afzkl.development.mColorPicker.views.ColorPanelView', '@+id/color_picker', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.12,v2.0.0,'ImageView', '@+id/picture_thumbnail', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.12,v2.0.0,'SeekBar', '@+id/seekbar', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.12,v2.0.0,'TextView', '@+android:id/title', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.12,v2.0.0,'TextView', '@+android:id/summary', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.12,v2.0.0,'ImageView', '@+android:id/icon', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.10,v1.0.11,'afzkl.development.mColorPicker.views.ColorPanelView', '@+android:id/color_picker', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.3,v1.0.4,'com.ruesga.android.wallpapers.photophase.widgets.VerticalEndlessScroller', '', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.3,v1.0.4,'com.ruesga.android.wallpapers.photophase.widgets.PicturesView', '@+id/album_pictures_scroller', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.3,v1.0.4,'com.ruesga.android.wallpapers.photophase.widgets.AlbumInfo', '', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.3,v1.0.4,'Space', '', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.3,v1.0.4,'com.ruesga.android.wallpapers.photophase.widgets.DispositionView', '@+id/disposition_view', '', '',,,,,,,
