package,rID,fid
com.google.zxing.client.android,BS-4.7.6,BS.4.7.6
com.google.zxing.client.android,BS-4.7.5,BS.4.7.5
com.google.zxing.client.android,BS-4.7.4,BS.4.7.4
com.google.zxing.client.android,BS-4.7.3,BS.4.7.3
com.google.zxing.client.android,BS-4.7.0,BS.4.7.0
com.google.zxing.client.android,BS-4.6.4,BS.4.6.4
com.google.zxing.client.android,BS-4.6.3,BS.4.6.3
com.google.zxing.client.android,BS-4.6.2,BS.4.6.2
com.google.zxing.client.android,BS-4.6.1,BS.4.6.1
com.google.zxing.client.android,BS-4.6.0,BS.4.6.0
com.google.zxing.client.android,BS-4.5.1,BS.4.5.1
com.google.zxing.client.android,zxing-3.3.0,zxing.3.3.0
com.google.zxing.client.android,zxing-3.2.1,zxing.3.2.1
com.google.zxing.client.android,zxing-3.2.0,zxing.3.2.0
com.google.zxing.client.android,zxing-3.1.0,zxing.3.1.0
com.google.zxing.client.android,zxing-3.0.1,zxing.3.0.1
com.google.zxing.client.android,zxing-3.0.0,zxing.3.0.0
com.google.zxing.client.android,zxing-2.3.0,zxing.2.3.0
com.sigseg.android.worldmap,version-2.0.2,version.2.0.2
com.sigseg.android.worldmap,version-2.0.1,version.2.0.1
com.sigseg.android.worldmap,version-2.0,version.2.0
com.sigseg.android.worldmap,version-1.1,version.1.1
com.sigseg.android.worldmap,version-1.0,version.1.0
com.sigseg.android.worldmap,120413-goodscrolling,120413.goodscrolling
com.sigseg.android.worldmap,120411-cached,120411.cached
com.sigseg.android.worldmap,120410-initial,120410.initial
org.wikipedia,beta2.6.201-beta-2017-08-10,beta2.6.201.beta.2017.08.10
org.wikipedia,beta2.6.200-beta-2017-08-08,beta2.6.200.beta.2017.08.08
org.wikipedia,beta2.6.199-beta-2017-08-07,beta2.6.199.beta.2017.08.07
org.wikipedia,beta2.6.198-beta-2017-06-09,beta2.6.198.beta.2017.06.09
org.wikipedia,beta2.6.197-beta-2017-06-08,beta2.6.197.beta.2017.06.08
org.wikipedia,beta2.6.196-beta-2017-06-07,beta2.6.196.beta.2017.06.07
org.wikipedia,r2.5.195-r-2017-04-21,2.5.195.2017.04.21
org.wikipedia,beta2.5.195-beta-2017-04-21,beta2.5.195.beta.2017.04.21
org.wikipedia,beta2.5.194-beta-2017-04-19,beta2.5.194.beta.2017.04.19
org.wikipedia,beta2.5.192-beta-2017-04-04,beta2.5.192.beta.2017.04.04
org.wikipedia,r2.5.191-r-2017-03-31,2.5.191.2017.03.31
org.wikipedia,beta2.5.191-beta-2017-03-31,beta2.5.191.beta.2017.03.31
org.wikipedia,r2.5.190-r-2017-02-24,2.5.190.2017.02.24
org.wikipedia,beta2.5.190-beta-2017-02-24,beta2.5.190.beta.2017.02.24
org.wikipedia,beta2.5.189-beta-2017-02-15,beta2.5.189.beta.2017.02.15
org.wikipedia,beta2.5.188-beta-2017-02-10,beta2.5.188.beta.2017.02.10
org.wikipedia,beta2.5.187-beta-2017-02-08,beta2.5.187.beta.2017.02.08
org.wikipedia,r2.4.184-r-2016-12-14,2.4.184.2016.12.14
org.wikipedia,beta2.4.184-beta-2016-12-14,beta2.4.184.beta.2016.12.14
org.wikipedia,r2.4.183-r-2016-12-08,2.4.183.2016.12.08
org.wikipedia,beta2.4.183-beta-2016-12-08,beta2.4.183.beta.2016.12.08
org.wikipedia,beta2.4.182-beta-2016-12-06,beta2.4.182.beta.2016.12.06
org.wikipedia,beta2.4.181-beta-2016-12-05,beta2.4.181.beta.2016.12.05
org.wikipedia,r2.4.160-r-2016-10-14,2.4.160.2016.10.14
org.wikipedia,beta2.4.160-beta-2016-10-14,beta2.4.160.beta.2016.10.14
org.wikipedia,beta2.4.158-beta-2016-10-13,beta2.4.158.beta.2016.10.13
org.wikipedia,r2.4.157-r-2016-09-28,2.4.157.2016.09.28
org.wikipedia,beta2.4.157-beta-2016-09-28,beta2.4.157.beta.2016.09.28
org.wikipedia,beta2.4.156-beta-2016-09-19,beta2.4.156.beta.2016.09.19
org.wikipedia,r2.3.152-r-2016-08-18,2.3.152.2016.08.18
org.wikipedia,beta2.3.152-r-2016-08-18,beta2.3.152.2016.08.18
org.wikipedia,beta2.3.152-beta-2016-08-18,beta2.3.152.beta.2016.08.18
org.wikipedia,beta2.3.151-beta-2016-08-17,beta2.3.151.beta.2016.08.17
org.wikipedia,r2.3.150-r-2016-07-25,2.3.150.2016.07.25
org.wikipedia,beta2.3.150-beta-2016-07-25,beta2.3.150.beta.2016.07.25
org.wikipedia,r2.3.149-r-2016-07-28,2.3.149.2016.07.28
org.wikipedia,beta2.3.149-beta-2016-07-19,beta2.3.149.beta.2016.07.19
org.wikipedia,beta2.3.148-beta-2016-07-18,beta2.3.148.beta.2016.07.18
org.wikipedia,r2.2.147-r-2016-06-09,2.2.147.2016.06.09
org.wikipedia,beta2.2.147-beta-2016-06-06,beta2.2.147.beta.2016.06.06
org.wikipedia,r2.2.146-r-2016-05-31,2.2.146.2016.05.31
org.wikipedia,beta2.2.146-beta-2016-05-23,beta2.2.146.beta.2016.05.23
org.wikipedia,beta2.1.144-beta-2016-05-09,beta2.1.144.beta.2016.05.09
