topic index,words
1,0.004*work,0.003*app,0.003*scan,0.002*barcode,0.002*use,0.002*scanner,0.001*great,0.001*qr,0.001*code,0.001*useful
2,0.003*app,0.003*use,0.002*scan,0.002*work,0.002*code,0.002*scanner,0.001*barcode,0.001*good,0.001*qr,0.001*one
3,0.004*app,0.003*work,0.002*good,0.002*scan,0.002*use,0.002*barcode,0.001*scanner,0.001*it's,0.001*code,0.001*ok
4,0.003*app,0.002*work,0.001*scanner,0.001*barcode,0.001*bulshit,0.001*code,0.001*scan,0.001*use,0.001*time,0.001*best
5,0.002*work,0.002*app,0.001*good,0.001*scan,0.001*use,0.001*phone,0.001*like,0.001*apps,0.001*abandon,0.001*fix
6,0.003*work,0.003*app,0.002*good,0.002*scan,0.002*use,0.001*barcode,0.001*great,0.001*like,0.001*every,0.001*scanner
7,0.002*work,0.001*use,0.001*app,0.001*ad.,0.001*scan,0.001*camera,0.001*problem..,0.001*jao.,0.001*inventory/small,0.001*code
8,0.002*work,0.002*app,0.001*use,0.001*good,0.001*scan,0.001*code,0.001*need,0.001*qr,0.001*fjnnnjncnfnnvnvnn,0.001*regret.
9,0.003*work,0.002*app,0.002*scan,0.001*bhaai,0.001*gionee,0.001*camera,0.001*great,0.001*apps,0.001*use,0.001*around.
10,0.002*work,0.002*app,0.001*scanned.,0.001*nice,0.001*android!,0.001*get,0.001*use,0.001*scan,0.001*nice😃😃,0.001*undetectable
11,0.002*work,0.001*app,0.001*scan,0.001*features!,0.001*pwoli,0.001*again.,0.001*stars!,0.001*otro,0.001*it's,0.001*anything:
12,0.001*work,0.001*surface.,0.001*good,0.001*app,0.001*weight.,0.001*envelope?,0.001*book's,0.001*wasteland,0.001*ditto,0.001*scan
13,0.002*work,0.002*app,0.001*good,0.001*needs.,0.001*love,0.001*use,0.001*deactivated,0.001*scan,0.001*niche,0.001*age
14,0.002*app,0.002*great,0.002*work,0.001*scan,0.001*scanner,0.001*barcode,0.001*would,0.001*use,0.001*:)...,0.001*barcodes..!
15,0.001*permissions!,0.001*app,0.001*work,0.001*...,0.001*useful..,0.001*horibble,0.001*sucks ,0.001*themselves.,0.001*need,0.001*hmmmm
16,0.002*app,0.001*work,"0.001*isbn.""",0.001*pack,0.001*pierregee,0.001*ki,0.001*huge,0.001*жаль ,0.001*likeddd,0.001*(utilizava
17,0.002*app,0.001*work,0.001*tip ,0.001*scan,0.001*homework,0.001*blinking.,0.001*law,0.001*consistly.,0.001*admin,0.001*with.
18,0.001*app,0.001*nice,0.001*amin,0.001*scan,0.001*accessing?,0.001*hook,0.001*ur,0.001*work,0.001*bother.,0.001*feedback.
19,0.001*great,0.001*reinstall,0.001*boo,0.001*option,0.001*app,0.001*don't,0.001*situation,0.001*landscape,0.001*(1),0.001*work
20,0.001*work,0.001*da,0.001*reply,0.001*good,0.001*greeeat,0.001*type?,0.001*useful!,0.001*non-regular,0.001*wrost,0.001*doing 
21,0.001*app,0.001*all:,0.001*work,0.001*sing,0.001*(samsung,0.001*odaklanmıyor,0.001*guys!,0.001*retail,0.001*app..,0.001*отлично
22,0.002*carolene,0.001*useless,0.001*suggestions:,0.001*ummmmmmmm ,0.001*fi,0.001*diesal,0.001*barcode ,0.001*carpet,0.001*history,0.001*portrait?
23,0.002*work,0.001*app,0.001*scan,0.001*super,0.001*awsom,0.001*thingy,0.001*libraries,0.001*clear,0.001*later.,0.001*great
24,0.001*os ,0.001*dis,0.001*7.0 ,0.001*app,0.001*joke,0.001*anything,0.001*good,0.001*wonderfully,0.001*design,0.001*machine?
25,0.001*powder,0.001*(and,0.001*scanner,0.001*app,0.001*a,,0.001*he'll,0.001*i've,0.001*work,0.001*guzs........,0.001*order
26,0.002*work,0.001*totally,0.001*brillant,0.001*app,0.001*fail!,0.001*waste,0.001*code,0.001*scan,0.001*time,0.001*bravo
27,0.001*scan,0.001*refocusing.,0.001*app,0.001*perfect,0.001*work,0.001*deceive,0.001*impressed.,0.001*camera,0.001*settings ,0.001*design.kindly
28,0.002*n9005 ,0.001*mirroring,0.001*solution?,0.001*open ,0.001*gloves.,0.001*mega,0.001*listing,0.001*great ,0.001*'problem,0.001*glitche.
29,0.002*good,0.001*app,0.001*scan,0.001*work,0.001*1/2⭐,0.001*ads ,0.001*code,0.001*awareness,0.001*time,0.001*nice!
30,0.001*scan,0.001*app,0.001*ha,0.001*phone,0.001*work,0.001*good,0.001*it.,0.001*qr,0.001*small!,0.001*datamatrix
31,0.001*upper,0.001*work,0.001*app,0.001*unable,0.001*focused.,0.001*code,0.001*collection,0.001*sexy,0.001*already!!!,0.001*(on
32,0.002*work,0.001*app,0.001*désolé,0.001*useful,0.001*kkmallik,0.001*usps,0.001*crazy,0.001*good,0.001*world's,0.001*appreciate
33,0.002*barcode,0.001*warning,0.001*table,0.001*work,0.001*fast,0.001*app,0.001*pain,0.001*bookscouter,0.001*shop,0.001*viewer.
34,0.001*scanner!!,0.001*app,0.001*work,0.001*code,0.001*fr,0.001*brill,0.001*it's,0.001*anand,0.001*کدوم,0.001*c
35,0.002*get,0.001*good...,0.001*app,0.001*scan,0.001*alright,0.001*work,0.001*good,0.001*sillier,0.001*compatibility.,0.001*b\u0026amp;q
36,0.001*go,0.001*best ,0.001*bulanık,0.001*proper,0.001*daughter,0.001*need,0.001*app,0.001*feeeeew,0.001*good,0.001*capability
37,0.001*trays,0.001*wrong...,0.001*zero ,0.001*powerful ,0.001*intrusive,0.001*permissions:,0.001*don't!!!,0.001*fi,0.001*pleased.,0.001*overall
38,0.001*say.,0.001*moment,0.001*settings...,0.001*app,0.001*rtf,0.001*interface ,0.001*ankita,0.001*work,0.001*described,0.001*broad
